PWSID	SystemName	Group	County	OwnerTypeDesc	ResPop	ResConn	TotalConn	ApprovSvcs	EffectiveDate	PWSAddress1	PWSCity	WSState	WSZipCode
00518	AGNEW MOBILE HOME PARK	A	CLALLAM	Investor	32	13	13	17	04/01/1979	PO BOX 1989	SEQUIM	WA	98382
00519	STEAMBOAT SQUARE	A	THURSTON	Investor	4	2	13	20	06/01/1980	219 LITTLE ST SW	TUMWATER	WA	98512-6929
00530	S&P PROPERTIES	A	MASON	Private	0	0	2	0	06/01/1980	PO BOX 123	PORT ORCHARD	WA	98366
00543	ROYAL WATER DISTRICT	A	GRANT	Special District	176	43	45	45	04/01/1980	73 CHRISTIANSEN RD	OTHELLO	WA	99344
00545	CHENEY PUBLIC SCHOOLS	A	SPOKANE	Special District	0	0	9	9	11/14/2012	12414 S ANDRUS RD	CHENEY	WA	99004
00552	SIMPLOT FEEDERS LTD	A	WALLA WALLA	Private	0	0	3	0	05/01/1980	PO BOX 1306	PASCO	WA	99301
00558	DEERFIELD PARK	A	THURSTON	Investor	97	35	35	35	05/13/1991	PO BOX 676	EAST OLYMPIA	WA	98540
00561	GLENWOOD STATION	A	KITSAP	Investor	156	59	60	62	05/16/1991	PO BOX 336	GIG HARBOR	WA	98335-0336
00567	HUNT COMMUNITY	A	KITSAP	Investor	45	24	24	24	05/29/1991	PO BOX 20429	SEATTLE	WA	98102
00580	AIRPORT GROCERY	A	MASON	Investor	0	0	1	2	11/01/1979	11900 HWY 101	SHELTON	WA	98584
00585	LOUELLA HEIGHTS	A	CLALLAM	Investor	26	15	15	32	06/06/1991	PO BOX 92	SEQUIM	WA	98382
00588	ISLANDWOOD ESTATES	A	KITSAP	Association	40	14	14	14	09/09/1990	PO BOX 123	PORT ORCHARD	WA	98366
00595	FPL ENERGY VANSYCLE	A	WALLA WALLA	Investor	0	0	1	2	05/14/1991	PO BOX 324	COLLEGE PLACE	WA	99324
00601	CENTURY WATER ASSOCIATION	A	WHATCOM	Private	110	30	30	37	02/01/1980	8058 LYNDALE	LYNDEN	WA	98264
00604	BADGER CANYON WATER ASSN	A	BENTON	Association	36	15	15	16	09/22/1989	195004 EAST 27TH AVE	KENNEWICK	WA	99337
00620	PORT OF SHELTON JOHNS PRAIRIE	A	MASON	Special District	0	0	17	17	01/01/1970	21 W SANDERSON WAY	SHELTON	WA	98584
00631	CHELAN CO PUD - CHELAN RIDGE	A	CHELAN	Special District	90	35	36	51	06/06/1991	PO BOX 1231	WENATCHEE	WA	98807
00638	GRANDVIEW-NORTHGATE INDUSTRIAL PARK	A	WHATCOM	Special District	0	0	48	0	06/14/1991	1705 TRIGG RD	FERNDALE	WA	98248
00641	MORNING SUN ESTATES WATER SYSTEM	A	CHELAN	Association	7	28	29	30	05/06/2003	14512 MORNING SUN DR	CHELAN	WA	98816
00650	"AIRWAY HEIGHTS, CITY OF"	A	SPOKANE	City/Town	"6,200"	1484	"1,669"	0	01/01/1970	1208 S. LUNDSTROM ST	AIRWAY HEIGHTS	WA	99001
00675	COUNTRY MEADOWS	A	KITSAP	Association	90	31	31	31	06/01/1980	PO BOX 1989	POULSBO	WA	98370
00682	MURDOCK WATER	A	KLICKITAT	Special District	62	33	33	63	08/01/1979	308 HAYDEN LANE	GOLDENDALE	WA	98620-2441
00692	JUNCTION BAR AND GRILL	A	THURSTON	Investor	2	2	3	3	04/01/1980	20980 OLD HWY 99 SW	CENTRALIA	WA	98531
00710	SNAKE RIVER HOUSING WATER SYSTEM	A	WALLA WALLA	Private	355	109	115	135	07/08/1991	PO BOX 324	COLLEGE PLACE	WA	99324
00744	DECATUR HEAD BEACH ASSOCIATION	A	SAN JUAN	Private	2	8	8	0	08/01/1991	17 DECATUR ISLAND	ANACORTES	WA	98221-9401
00750	ALCOA	A	CHELAN	Private	0	0	1	1	01/01/1970	6200 MALAGA-ALCOA HWY	MALAGA	WA	98828
00752	OCEAN BREEZE RESORT	A	GRAYS HARBOR	Investor	0	0	349	349	05/01/1980	6191 20TH ST E	FIFE	WA	98424
00770	COLUMBIA COLSTOR INC	A	BENTON	Private	0	0	1	1	07/18/1991	2730 W MARINA DR	MOSES LAKE	WA	98837
00792	HAYNES ACRES DIVISION 1	A	THURSTON	Private	74	27	27	27	06/01/1980	1509 SWEETWATER LOOP SW	OLYMPIA	WA	98512-9165
00800	ALBION WATER DEPT	A	WHITMAN	City/Town	618	330	330	430	01/01/1970	PO BOX 38	ALBION	WA	99102
00801	HUFF AND PUFF DRIVE IN	A	LEWIS	Investor	10	4	5	5	04/01/1979	PO BOX 477	RANDLE	WA	98377
00827	CRESCENT BAR RESORT	A	GRANT	Investor	1	1	119	0	10/10/1990	9252 CRESCENT BAR RD NW	QUINCY	WA	98848
00853	STRELLS WEST BEACH TRACTS	A	SKAGIT	Private	4	16	16	0	09/02/1991	510 HOLLY DRIVE	EDMONDS	WA	98020
00863	AUVIL FRUIT CO INC	A	KITTITAS	Private	95	62	65	99	03/14/1991	21902 SR 97	ORONDO	WA	98843
00886	GIFFORDS INC	A	THURSTON	Investor	90	28	28	30	02/01/1980	PO BOX 676	EAST OLYMPIA	WA	98540
00889	MATHESON	A	KITSAP	Private	12	4	6	6	09/26/1991	6270 BETHEL RD SE	PORT ORCHARD	WA	98367
00909	TILLEY MAINTENANCE FACILITY	A	THURSTON	County	0	0	4	5	05/20/1991	921 LAKERIDGE WAY SW SUITE 301	OLYMPIA	WA	98502
00912	WHIDBEY ISLAND EAGLES #3418	A	ISLAND	Private	0	0	5	0	10/07/1991	PO BOX 925	FREELAND	WA	98249
00914	LAKE MAYFIELD COMMUNITY CLUB	A	LEWIS	Association	45	33	37	75	10/01/1979	PO BOX 780	NAPAVINE	WA	98565
00924	BLOEDEL RESERVE	A	KITSAP	Private	1	1	6	7	10/17/1991	PO BOX 555	SUQUAMISH	WA	98392-0555
00932	SKAGIT COUNTY PUD 1 FIDALGO	A	SKAGIT	Special District	"1,945"	696	708	0	10/16/1991	PO BOX 1436	MT VERNON	WA	98273-1436
00943	LIBERTY BELL HIGH SCHOOL	A	OKANOGAN	Special District	0	0	3	3	01/01/1980	18 TWIN LAKES RD	WINTHROP	WA	98862-9713
00944	HIDDEN HEIGHTS	A	KITSAP	Association	36	14	14	16	01/08/2007	PO BOX 123	PORT ORCHARD	WA	98366
00946	COLUMBIA RIVERFRONT RV PARK	A	COWLITZ	Private	0	0	76	76	09/20/1991	1881 DIKE ROAD	WOODLAND	WA	98674
00950	MORNING MEADOWS	A	CLARK	Special District	75	25	25	27	11/05/1991	PO BOX 8900	VANCOUVER	WA	98668
00952	AVALON LINKS GOLF CLUB	A	SKAGIT	Investor	0	0	2	2	10/14/1991	19345 KELLEHER RD	BURLINGTON	WA	98233
00953	NISQUALLY HIGHLANDS 364	A	THURSTON	Special District	162	55	55	57	11/05/1991	921 LAKERIDGE WAY SW SUITE 301	OLYMPIA	WA	98502
00954	EVERGREEN APARTMENTS	A	LEWIS	Private	54	15	15	0	11/05/1991	PO BOX 780	NAPAVINE	WA	98565
00971	BATTLE CREEK GOLF COURSE	A	SNOHOMISH	Investor	0	0	2	4	10/29/1991	6006 MERIDIAN AVE N	MARYSVILLE	WA	98271
00982	UTSALADY HEIGHTS OWNERS ASSN	A	ISLAND	Association	240	99	99	105	12/02/1991	PO BOX 1631	STANWOOD	WA	98292
00988	ALDER STREET WATER SYSTEM	A	ISLAND	Association	16	23	23	0	01/01/1970	PO BOX 2243	OAK HARBOR	WA	98277
01000	CITIZENS WATER ASSOCIATION	A	PIERCE	Private	60	24	25	34	01/01/1970	219 LITTLE ST SW	TUMWATER	WA	98512-6929
01001	BLUE SKY RV PARK	A	KING	Private	3	3	65	52	01/01/1980	9002 302ND AVE SE	ISSAQUAH	WA	98027
01003	SKAMOKAWA VISTA PARK	A	WAHKIAKUM	Special District	0	0	29	45	04/01/1980	PO BOX 220	SKAMOKAWA	WA	98647
01023	WINDDRIFT WELL	A	KITSAP	Investor	56	21	21	24	12/09/1991	PO BOX 336	GIG HARBOR	WA	98335-0336
01031	RAVENS REACH	A	KITSAP	Association	42	16	16	16	11/14/1991	PO BOX 336	GIG HARBOR	WA	98335-0336
01050	ALDERBROOK WATER CO	A	MASON	Special District	898	359	379	0	01/01/1970	21971 N HWY. 101	SHELTON	WA	98584
01073	BEVIN LAKE REST AREA	A	LEWIS	State	0	0	1	1	06/21/1996	1411 RUSH RD	CHEHALIS	WA	98532
01086	CHRISTIAN WORSHIP CENTER	A	KITSAP	Private	2	1	3	3	01/06/1992	14132 NW HOLLY RD	SEABECK	WA	98380
01088	GHC OCEAN CITY	A	GRAYS HARBOR	County	103	70	75	161	04/21/2005	PO BOX 280	PACIFIC BEACH	WA	98571
01096	ROSE VALLEY FRIENDS CHURCH	A	COWLITZ	Private	0	0	1	0	01/06/1992	11310 LEWIS RIVER ROAD	ARIEL	WA	98603-9763
01109	ARCO AM/PM (FAC 5840)	A	WHATCOM	Investor	0	0	1	1	08/16/1991	11232 120TH AVE NE SUITE 202	KIRKLAND	WA	98033
01125	THREE PONDS MOBILE PARK & APTS.	A	PIERCE	Investor	113	37	37	37	01/01/1970	28641 SE 225TH ST	MAPLE VALLEY	WA	98038
01143	COULEE CITY RV PARK	A	GRANT	Investor	7	22	37	0	05/14/1991	PO BOX 656	COULEE CITY	WA	99115
01150	ALDERCREST WATER USERS	A	SNOHOMISH	Association	48	21	21	0	01/01/1970	1919 PINE AVE	SNOHOMISH	WA	98290
01200	ALDERGROVE WATER ASSOCIATION	A	WHATCOM	Association	120	60	60	120	01/01/1970	3009 ALDERGROVE RD	FERNDALE	WA	98248
01205	BURNT RIDGE MX PARK	A	LEWIS	Private	0	0	1	0	06/21/1996	1058 BURNT RIDGE RD	ONALASKA	WA	98570
01213	RHODODENDRON PLACE	A	MASON	Investor	29	18	22	28	02/21/1992	PO BOX 676	EAST OLYMPIA	WA	98540
01220	SNOW CREEK	A	JEFFERSON	Special District	40	40	41	77	02/25/1992	PO BOX 929	PORT HADLOCK	WA	98339
01222	AUST 210	A	LEWIS	Special District	35	17	17	20	01/02/1992	921 LAKERIDGE WAY SW SUITE 301	OLYMPIA	WA	98502
01250	VALLEY WATER SYSTEM	A	PIERCE	Special District	"1,738"	695	754	0	01/01/1970	14515 PIONEER WAY E	PUYALLUP	WA	98372
01252	SOUTHWORTH ELEMENTARY	A	THURSTON	Special District	0	1	2	2	04/01/1980	219 LITTLE ST SW	TUMWATER	WA	98512-6929
01265	ALDERWOOD EAST	A	CLALLAM	Association	38	15	15	19	07/01/1978	PO BOX 92	SEQUIM	WA	98382
01266	SUNNYBANK WATER SYSTEM	A	CHELAN	Association	89	37	37	58	02/01/1980	604 BRIARWWOD DR	EAST WENATCHEE	WA	98802
01267	STEWARTS MEATS	A	THURSTON	Private	5	1	2	2	05/01/1980	17821 SR 507 SE	YELM	WA	98597
01270	ALDERWOOD ESTATES	A	PIERCE	Special District	635	254	254	264	01/01/1970	14515 PIONEER WAY E	PUYALLUP	WA	98372
01281	LENORA WATER AND SEWER DISTRICT	A	PEND OREILLE	Special District	16	11	246	34	03/20/1992	PO BOX 297	USK	WA	99180
01300	ALDERWOOD WATER DISTRICT	A	SNOHOMISH	Special District	"171,500"	65498	"66,912"	0	01/01/1970	3626 156TH ST SW	LYNNWOOD	WA	98087
01306	NORTHWEST NATURAL	A	THURSTON	Private	0	0	2	2	02/17/1992	3403 STEAMBOAT ISLAND ROAD NW	OLYMPIA	WA	98502
01319	164TH ST ARTESIAN WELL	A	SNOHOMISH	Special District	0	0	1	1	03/30/1992	3626 156TH ST SW	LYNNWOOD	WA	98087
01338	ALECK BAY PARK WATER SYSTEM	A	SAN JUAN	Association	36	51	51	65	01/01/1970	PO BOX 683	LOPEZ ISLAND	WA	98261-0683
01339	TALL CHIEF RESORT	A	KING	Private	1	1	184	0	01/01/1980	29290 SE 8TH ST	FALL CITY	WA	98024
01343	ALEXANDER S COUNTRY INN	A	PIERCE	Investor	0	1	13	13	01/01/1970	4354 N LEXINGTON	TACOMA	WA	98407-1710
01345	ST BEDES EPISCOPAL CHURCH	A	KITSAP	Private	0	0	1	1	07/01/1980	PO BOX 123	PORT ORCHARD	WA	98366
01357	MOUNT BAKER SKI AREA - WHITE SALMON	A	WHATCOM	Investor	0	0	2	1	04/15/1992	1420 IOWA ST	BELLINGHAM	WA	98229
01371	SAGE HILLS ESTATES 1	A	GRANT	Association	38	19	19	20	05/05/1992	16728 HANDICAP LANE	WARDEN	WA	98857
01379	TOWNSHIP PLACE	A	THURSTON	Association	56	18	18	18	08/01/1980	1162 NW STATE AVE	CHEHALIS	WA	98532-0813
01383	CHUCKANUT TRAILS WATER SYSTEM	A	WHATCOM	Private	72	56	56	86	04/29/1992	PO BOX 4358	BELLINGHAM	WA	98227
01392	VILLA GROVE	A	THURSTON	Investor	8	2	3	4	07/01/1980	9200 LITTLE ROCK RD SW	OLYMPIA	WA	98512
01400	SKAGIT CO PUD - ALGER	A	SKAGIT	Special District	210	110	122	219	01/01/1970	PO BOX 1436	MT VERNON	WA	98273-1436
01428	NEWAUKUM HILL WATER ASSN	A	LEWIS	Association	475	190	192	263	06/01/1980	PO BOX 1464	CHEHALIS	WA	98532
01429	CAMANO HILLS WATER COMPANY INC	A	ISLAND	Investor	135	114	133	364	03/15/1992	PO BOX 2703	STANWOOD	WA	98292
01450	ALGONA WATER DEPT	A	KING	City/Town	"3,000"	1096	"1,139"	0	01/01/1970	402 WARDE ST	ALGONA	WA	98001
01461	CAROUSEL DAY CARE	A	KITSAP	Private	5	2	3	4	05/21/1992	PO BOX 123	PORT ORCHARD	WA	98366
01463	ASPINWALL ESTATES	A	THURSTON	Investor	93	35	35	58	05/26/1992	6800 MERIDIAN RD SE	OLYMPIA	WA	98513-6302
01468	MOUNT BAKER SCHOOL DISTRICT-DEMING	A	WHATCOM	Private	0	0	1	1	01/16/1992	14263 CALHOUN RD	MOUNT VERNON	WA	98273
01469	CAPE ST MARY ASSOCIATION WATER	A	SAN JUAN	Association	17	18	23	40	05/11/1992	PO BOX 683	LOPEZ ISLAND	WA	98261-0683
01471	DEER HARBOR INN	A	SAN JUAN	Private	4	1	13	0	06/12/1992	PO BOX 142	DEER HARBOR	WA	98243
01483	GREEN BLUFF WATER ASSN	A	SPOKANE	Association	215	86	86	115	06/11/1992	PO BOX 1295	MEAD	WA	99021
01484	PETERSON FARMS	A	COWLITZ	Private	16	8	14	14	07/01/1992	2526 DIKE RD	WOODLAND	WA	98674
01487	PASCO GOLFLAND INC	A	FRANKLIN	Private	3	1	2	0	06/17/1992	235 HARRISON	KENNEWICK	WA	99336
01500	PEACH BEACH RV PARK	A	KLICKITAT	Private	0	0	69	0	06/23/1992	171 MARYHILL HWY	GOLDENDALE	WA	98620-4605
01517	COWLITZ VALLEY WILDLIFE LEAGUE	A	COWLITZ	Private	2	1	46	0	06/17/1992	300 LAKEVIEW DR.	SILVER LAKE	WA	98645
01567	VIEW RANCH ESTATES WATER ASSN	A	LEWIS	Association	141	48	48	59	04/01/1980	207 WHITNEY BLVD.	CHEHALIS	WA	98532
01573	SNUG HARBOR RESORT WATER SYSTEM	A	SAN JUAN	Private	0	0	19	20	07/22/1992	723 HANNA PARK	EDMONDS	WA	98020
01576	HOMESTEAD MOBILE HOME PARK	A	OKANOGAN	Private	150	45	45	52	07/14/1992	4 NORWAY PINES DR	TONASKET	WA	98855
01581	ELWHA PLACE HOMEOWNERS ASSN	A	CLALLAM	Association	53	26	26	40	08/01/1980	556 HUNT RD	PORT ANGELES	WA	98363
01591	HUNT III COMMUNITY	A	KITSAP	Investor	28	12	12	16	07/22/1992	PO BOX 20098	SEATTLE	WA	98102
01608	ALLAN BROS WAREHOUSE	A	YAKIMA	Private	0	0	3	5	01/01/1979	31 ALLAN ROAD	NACHES	WA	98937
01639	QUINCY VALLEY ADULT PARK	A	GRANT	Private	16	63	63	99	08/14/1992	"17693 RD 5 NW, #46"	QUINCY	WA	98848
01666	SMUGGLERS  COVE WATER SYSTEM	A	SAN JUAN	Private	35	30	30	44	10/06/1992	PO BOX 1783	FRIDAY HARBOR	WA	98250
01668	WESTERN STAVIS WATER SYS II & III	A	KITSAP	Special District	60	24	24	29	09/04/1992	PO BOX 1989	POULSBO	WA	98370
01690	LOPEZ FARM AND COTTAGES WS	A	SAN JUAN	Private	3	2	21	0	10/06/1995	PO BOX 610	LOPEZ	WA	98261
01695	ALLYN SHOPPING CENTER	A	MASON	Investor	70	28	38	109	01/01/1970	PO BOX 336	GIG HARBOR	WA	98335-0336
01698	NORTH FORTY PROPERTY OWNERS ASSN	A	SAN JUAN	Private	25	19	19	24	07/01/1980	PO BOX 2960	FRIDAY HARBOR	WA	98250
01700	ALMIRA WATER SYSTEM	A	LINCOLN	City/Town	302	120	143	267	01/01/1970	PO BOX 215	ALMIRA	WA	99103
01712	FOREST GLEN ESTATES	A	PIERCE	Private	50	20	21	21	08/24/1992	921 LAKERIDGE WAY SW SUITE 301	OLYMPIA	WA	98502
01726	BLUEWOOD SKI AREA	A	COLUMBIA	Private	0	1	2	0	02/01/1980	PO BOX 167	DAYTON	WA	99328
01736	FERN BLUFF ESTATES	A	SNOHOMISH	Private	25	12	12	15	03/01/1980	PO BOX 255	MONROE	WA	98272
01739	DEKKER WATER SYSTEM	A	YAKIMA	Private	0	1	2	2	10/02/1992	PO BOX 340	HARRA	WA	98933
01792	BOOKWALTER WINERY	A	BENTON	Private	0	0	1	1	10/23/1992	894 TULIP LANE	RICHLAND	WA	99302
01808	LITTLE MISSION CREEK	A	MASON	Association	47	20	20	20	10/25/1992	371 E LEFFLER LOOP RD	GRAPEVIEW	WA	98546
01815	ALPENHORN CAFE	A	CHELAN	Private	0	1	2	0	01/30/2012	7750 S LAKESHORE RD #2	CHELAN	WA	98816
01822	ALPINE ACRES COMMUNITY ASSOCIATION	A	CHELAN	Association	46	26	71	83	01/01/1970	21000 MORGAN ST	LEAVENWORTH	WA	98826
01824	STONEWATER RANCH	A	CHELAN	Private	21	4	36	36	01/01/1979	19537 CHIWAWA LOOP RD	LEAVENWORTH	WA	98826
01826	ALPINE HILLS	A	THURSTON	Investor	360	136	136	146	01/01/1970	6800 MERIDIAN RD SE	OLYMPIA	WA	98513-6302
01828	ALPINE VILLAGE PROPERTY OWNERS	A	PIERCE	Association	29	45	65	85	01/01/1970	PO BOX 123	PORT ORCHARD	WA	98366
01830	ALPINE MOBILE MANOR	A	KING	Private	60	43	43	43	01/01/1970	19531 36TH AVE NE	LAKE FOREST PARK	WA	98155
01832	HARBOR CREST	A	KITSAP	Special District	53	21	21	23	07/01/1980	PO BOX 1989	POULSBO	WA	98370
01840	ALPINEWOOD	A	KITSAP	Investor	260	98	98	99	01/01/1970	PO BOX 336	GIG HARBOR	WA	98335-0336
01842	PROSPECT WATER ASSN INC	A	KLICKITAT	Association	92	39	39	39	08/01/1980	308 HAYDEN LANE	GOLDENDALE	WA	98620-2441
01848	ALS GROCERY	A	KITSAP	Private	5	1	2	0	08/21/2012	13965 CRESCENT VALLEY RD. SE.	OLALLA	WA	98359
01852	DEER MEADOWS WATER COMPANY INC	A	LINCOLN	Investor	48	350	350	450	11/13/1992	42180 OSPREY LANE N	DAVENPORT	WA	99122
01867	CAMANO ISLAND DENTAL CENTER	A	ISLAND	Investor	0	0	1	0	10/19/1992	PO BOX 659	ARLINGTON	WA	98223
01872	EAST END LAKE TAPPS ROD AND GUN CL	A	PIERCE	Private	22	22	22	22	09/29/1992	21225 ISLAND PKWY E	BONNEY LAKE	WA	98391
01874	GOLDEN VALLEY WATER SYSTEM.	A	PIERCE	Investor	174	99	99	99	09/25/1992	6505 241ST AVE E	BUCKLEY	WA	98321
01875	DUCK SOUP INN	A	SAN JUAN	Investor	0	0	1	1	11/23/1992	50 DUCK SOUP LN	FRIDAY HARBOR	WA	98250
01876	SOUTHEND WATER SYSTEM	A	SAN JUAN	Private	5	2	5	0	11/06/1992	3024 MUD BAY ROAD	LOPEZ	WA	98261
01898	WOODARD PLACE	A	THURSTON	Investor	94	35	35	40	12/07/1992	2849 CLIFFS LN NE	OLYMPIA	WA	98506-2970
01916	PEOPLES CREEK WATER SYSTEM	A	SNOHOMISH	Association	76	28	28	30	09/01/1980	19615 207TH AVE	MONROE	WA	98272
01925	ALTA CRYSTAL RESORT	A	PIERCE	Investor	0	0	26	0	01/01/1970	68317 SR 410 E	ENUMCLAW	WA	98022
01966	INDIAN HILLS ESTATES	A	KITSAP	Special District	323	141	141	148	03/01/1980	PO BOX 1989	POULSBO	WA	98370
01970	CASCADE PEAKS  RESORT	A	LEWIS	Investor	2	1	633	0	01/01/1979	P.O. BOX 247	RANDLE	WA	98377
01971	LITTLE DIAMOND/KOA/THOUSAND TRAILS	A	PEND OREILLE	Private	3	1	401	401	01/01/1970	1002 MC GOWEN RD	NEWPORT	WA	99156
01977	ADAMS RD COMMUNITY ASSN	A	ISLAND	Association	39	18	18	25	08/01/1980	5421 WOODARD AVE	FREELAND	WA	98249
01981	AMERICAN HERITAGE CAMPGROUNDS	A	THURSTON	Investor	3	2	88	88	01/01/1970	9610 KIMMIE ST SW	OLYMPIA	WA	98512
01983	BASIC AMERICAN FOODS	A	GRANT	Private	0	0	1	0	01/01/1970	538 POTATO FRONTAGE RD	MOSES LAKE	WA	98837-8500
01984	CANTERBROOK VILLAGE APARTMENTS	A	PIERCE	Investor	355	134	134	134	01/01/1970	6800 MERIDIAN RD SE	OLYMPIA	WA	98513-6302
01985	AMERICAN LEGION	A	YAKIMA	Private	0	0	2	0	01/01/1970	1120 N 34TH AVE	YAKIMA	WA	98902
02006	FALL CITY WATER DISTRICT (RUTH)	A	KING	Special District	46	17	17	18	12/23/1992	PO BOX 1059	FALL CITY	WA	98024
