"PWSID","SystemName","Group","County","OwnerTypeDesc","ResPop","ResConn","TotalConn","ApprovSvcs","EffectiveDate","PWSAddress1","PWSCity","WSState","WSZipCode"
"00223","COPALIS RV PARK OWNERS","A","GRAYS HARBOR","PRIVATE",9,9,23,28,1980-04-01,"112 DOGWOOD  DR","CHEHALIS","WA","98532"
"00238","DALLESPORT INDUSTRIAL PARK","A","KLICKITAT","SPECIAL DISTRICT",0,0,57,539,1980-04-01,"1313 S COLUMBUS AVE","GOLDENDALE","WA","98620"
"00240","G&M ESTATE","A","THURSTON","INVESTOR",2,2,5,5,1980-04-01,"PO BOX 123","PORT ORCHARD","WA","98366"
"00250","ACME WATER DISTRICT NO 18","A","WHATCOM","SPECIAL DISTRICT",273,93,101,190,1970-01-01,"PO BOX 13","ACME","WA","98220"
"00253","CEDARWOOD SOUTH UNION ESTATES","A","THURSTON","INVESTOR",117,44,44,50,1980-05-01,"6800 MERIDIAN RD SE","OLYMPIA","WA","98513"
"00270","OBSTRUCTION ISLAND COMMUNITY CLUB","A","SAN JUAN","ASSOCIATION",24,31,31,42,1995-11-03,"2455 277TH AVE SE","SAMMAMISH","WA","98075"
"00302","FOUR SEASONS PARK","A","CLALLAM","ASSOCIATION",217,91,91,99,1980-03-01,"PO BOX 1989","SEQUIM","WA","98382"
"00307","CARLSBORG LUD 10 12 13 14","A","CLALLAM","SPECIAL DISTRICT",417,167,237,241,1991-02-05,"PO BOX 1090","PORT ANGELES","WA","98362"
"00315","BIRCHFIELD 207","A","LEWIS","SPECIAL DISTRICT",35,15,17,100,2003-06-19,"PO BOX 123","PORT ORCHARD","WA","98366"
"00323","PORT GAMBLE","A","KITSAP","PRIVATE",74,32,48,61,1991-02-20,"PO BOX 1989","POULSBO","WA","98370"
"00333","GRAYS HARBOR CO PACIFIC BEACH","A","GRAYS HARBOR","COUNTY",1000,530,551,0,1991-03-25,"PO BOX 280","PACIFIC BEACH","WA","98571"
"00339","TROWBRIDGE COURT CONDO ASSN","A","CLALLAM","ASSOCIATION",16,16,16,16,1991-02-28,"PO BOX 336","GIG HARBOR","WA","98335"
"00367","STEVENS CO PUD - ADDY","A","STEVENS","SPECIAL DISTRICT",243,139,143,151,1978-07-01,"PO BOX 592","LOON LAKE","WA","99148"
"00370","ROSE VALLEY SCHOOL","A","COWLITZ","SPECIAL DISTRICT",0,0,3,0,1980-04-01,"612 ASH ST","KELSO","WA","98626"
"00392","SKAGIT CO WATER DISTRICT #1","A","SKAGIT","SPECIAL DISTRICT",270,121,123,211,1991-04-09,"14263 CALHOUN RD","MOUNT VERNON","WA","98273"
"00410","ADMIRALS  COVE WATER DISTRICT","A","ISLAND","SPECIAL DISTRICT",815,491,491,610,1970-01-01,"5421 WOODARD AVE","FREELAND","WA","98249"
"00429","GREEN ISLAND HILLS WATER ASSN","A","ISLAND","ASSOCIATION",265,70,70,110,1980-04-01,"PO BOX 2629","STANWOOD","WA","98292"
"00431","HI VALLEY VIEW","A","YAKIMA","ASSOCIATION",67,19,19,19,1979-02-01,"512 MURRAY RD","YAKIMA","WA","98908"
"00439","THOUSAND TRAILS-LA CONNER","A","SKAGIT","INVESTOR",0,0,334,0,1991-04-09,"16362 SNEEOSH RD","LA CONNER","WA","98257"
"00469","JOHNSON GLEN","A","THURSTON","PRIVATE",2,1,4,6,1991-04-24,"8439 OLD HWY 99 SE","OLYMPIA","WA","98501"
"00484","TOWNSHIP 29 WATER ASSOCIATION","A","ISLAND","ASSOCIATION",38,24,24,28,1980-06-01,"PO BOX 2243","OAK HARBOR","WA","98277"
"00496","AGATE BAY TRAILER PARK","A","WHATCOM","PRIVATE",40,25,25,25,1970-01-01,"PO BOX 1462","BELLINGHAM","WA","98227"
"00507","CASCADE ESTATES SATELLITE","A","CLARK","SPECIAL DISTRICT",40,17,17,17,1991-04-18,"PO BOX 8900","VANCOUVER","WA","98668"
"00510","AGATE BEACH","A","MASON","SPECIAL DISTRICT",25,27,27,25,1970-01-01,"21971 N HWY. 101","SHELTON","WA","98584"
"00512","AGATE GROCERY","A","MASON","PRIVATE",2,1,2,0,1979-12-01,"3841 E AGATE RD","SHELTON","WA","98584"
"00515","AGATE WEST","A","KITSAP","INVESTOR",100,40,40,40,1970-01-01,"PO BOX 1085","POULSBO","WA","98370"
"00518","AGNEW MOBILE HOME PARK","A","CLALLAM","INVESTOR",32,13,13,17,1979-04-01,"PO BOX 1989","SEQUIM","WA","98382"
"00519","STEAMBOAT SQUARE","A","THURSTON","INVESTOR",4,2,13,20,1980-06-01,"219 LITTLE ST SW","TUMWATER","WA","98512"
"00530","S&P PROPERTIES","A","MASON","PRIVATE",0,0,2,0,1980-06-01,"PO BOX 123","PORT ORCHARD","WA","98366"
"00543","ROYAL WATER DISTRICT","A","GRANT","SPECIAL DISTRICT",176,43,45,45,1980-04-01,"73 CHRISTIANSEN RD","OTHELLO","WA","99344"
"00545","CHENEY PUBLIC SCHOOLS","A","SPOKANE","SPECIAL DISTRICT",0,0,9,9,2012-11-14,"12414 S ANDRUS RD","CHENEY","WA","99004"
"00552","SIMPLOT FEEDERS LTD","A","WALLA WALLA","PRIVATE",0,0,3,0,1980-05-01,"PO BOX 1306","PASCO","WA","99301"
"00558","DEERFIELD PARK","A","THURSTON","INVESTOR",97,35,35,35,1991-05-13,"PO BOX 676","EAST OLYMPIA","WA","98540"
"00561","GLENWOOD STATION","A","KITSAP","INVESTOR",156,59,60,62,1991-05-16,"PO BOX 336","GIG HARBOR","WA","98335"
"00567","HUNT COMMUNITY","A","KITSAP","INVESTOR",45,24,24,24,1991-05-29,"PO BOX 20429","SEATTLE","WA","98102"
"00580","AIRPORT GROCERY","A","MASON","INVESTOR",0,0,1,2,1979-11-01,"11900 HWY 101","SHELTON","WA","98584"
"00585","LOUELLA HEIGHTS","A","CLALLAM","INVESTOR",26,15,15,32,1991-06-06,"PO BOX 92","SEQUIM","WA","98382"
"00588","ISLANDWOOD ESTATES","A","KITSAP","ASSOCIATION",40,14,14,14,1990-09-09,"PO BOX 123","PORT ORCHARD","WA","98366"
"00595","FPL ENERGY VANSYCLE","A","WALLA WALLA","INVESTOR",0,0,1,2,1991-05-14,"PO BOX 324","COLLEGE PLACE","WA","99324"
"00601","CENTURY WATER ASSOCIATION","A","WHATCOM","PRIVATE",110,30,30,37,1980-02-01,"8058 LYNDALE","LYNDEN","WA","98264"
"00604","BADGER CANYON WATER ASSN","A","BENTON","ASSOCIATION",36,15,15,16,1989-09-22,"195004 EAST 27TH AVE","KENNEWICK","WA","99337"
"00620","PORT OF SHELTON JOHNS PRAIRIE","A","MASON","SPECIAL DISTRICT",0,0,17,17,1970-01-01,"21 W SANDERSON WAY","SHELTON","WA","98584"
"00631","CHELAN CO PUD - CHELAN RIDGE","A","CHELAN","SPECIAL DISTRICT",90,35,36,51,1991-06-06,"PO BOX 1231","WENATCHEE","WA","98807"
"00638","GRANDVIEW-NORTHGATE INDUSTRIAL PARK","A","WHATCOM","SPECIAL DISTRICT",0,0,48,0,1991-06-14,"1705 TRIGG RD","FERNDALE","WA","98248"
"00641","MORNING SUN ESTATES WATER SYSTEM","A","CHELAN","ASSOCIATION",7,28,29,30,2003-05-06,"14512 MORNING SUN DR","CHELAN","WA","98816"
"00650","AIRWAY HEIGHTS, CITY OF","A","SPOKANE","CITY/TOWN",6200,1484,1669,0,1970-01-01,"1208 S. LUNDSTROM ST","AIRWAY HEIGHTS","WA","99001"
"00675","COUNTRY MEADOWS","A","KITSAP","ASSOCIATION",90,31,31,31,1980-06-01,"PO BOX 1989","POULSBO","WA","98370"
"00682","MURDOCK WATER","A","KLICKITAT","SPECIAL DISTRICT",62,33,33,63,1979-08-01,"308 HAYDEN LANE","GOLDENDALE","WA","98620"
"00692","JUNCTION BAR AND GRILL","A","THURSTON","INVESTOR",2,2,3,3,1980-04-01,"20980 OLD HWY 99 SW","CENTRALIA","WA","98531"
"00710","SNAKE RIVER HOUSING WATER SYSTEM","A","WALLA WALLA","PRIVATE",355,109,115,135,1991-07-08,"PO BOX 324","COLLEGE PLACE","WA","99324"
"00744","DECATUR HEAD BEACH ASSOCIATION","A","SAN JUAN","PRIVATE",2,8,8,0,1991-08-01,"17 DECATUR ISLAND","ANACORTES","WA","98221"
"00750","ALCOA","A","CHELAN","PRIVATE",0,0,1,1,1970-01-01,"6200 MALAGA-ALCOA HWY","MALAGA","WA","98828"
"00752","OCEAN BREEZE RESORT","A","GRAYS HARBOR","INVESTOR",0,0,349,349,1980-05-01,"6191 20TH ST E","FIFE","WA","98424"
"00770","COLUMBIA COLSTOR INC","A","BENTON","PRIVATE",0,0,1,1,1991-07-18,"2730 W MARINA DR","MOSES LAKE","WA","98837"
"00792","HAYNES ACRES DIVISION 1","A","THURSTON","PRIVATE",74,27,27,27,1980-06-01,"1509 SWEETWATER LOOP SW","OLYMPIA","WA","98512"
"00800","ALBION WATER DEPT","A","WHITMAN","CITY/TOWN",618,330,330,430,1970-01-01,"PO BOX 38","ALBION","WA","99102"
"00801","HUFF AND PUFF DRIVE IN","A","LEWIS","INVESTOR",10,4,5,5,1979-04-01,"PO BOX 477","RANDLE","WA","98377"
"00827","CRESCENT BAR RESORT","A","GRANT","INVESTOR",1,1,119,0,1990-10-10,"9252 CRESCENT BAR RD NW","QUINCY","WA","98848"
"00853","STRELLS WEST BEACH TRACTS","A","SKAGIT","PRIVATE",4,16,16,0,1991-09-02,"510 HOLLY DRIVE","EDMONDS","WA","98020"
"00863","AUVIL FRUIT CO INC","A","KITTITAS","PRIVATE",95,62,65,99,1991-03-14,"21902 SR 97","ORONDO","WA","98843"
"00886","GIFFORDS INC","A","THURSTON","INVESTOR",90,28,28,30,1980-02-01,"PO BOX 676","EAST OLYMPIA","WA","98540"
"00889","MATHESON","A","KITSAP","PRIVATE",12,4,6,6,1991-09-26,"6270 BETHEL RD SE","PORT ORCHARD","WA","98367"
"00909","TILLEY MAINTENANCE FACILITY","A","THURSTON","COUNTY",0,0,4,5,1991-05-20,"921 LAKERIDGE WAY SW SUITE 301","OLYMPIA","WA","98502"
"00912","WHIDBEY ISLAND EAGLES #3418","A","ISLAND","PRIVATE",0,0,5,0,1991-10-07,"PO BOX 925","FREELAND","WA","98249"
"00914","LAKE MAYFIELD COMMUNITY CLUB","A","LEWIS","ASSOCIATION",45,33,37,75,1979-10-01,"PO BOX 780","NAPAVINE","WA","98565"
"00924","BLOEDEL RESERVE","A","KITSAP","PRIVATE",1,1,6,7,1991-10-17,"PO BOX 555","SUQUAMISH","WA","98392"
"00932","SKAGIT COUNTY PUD 1 FIDALGO","A","SKAGIT","SPECIAL DISTRICT",1945,696,708,0,1991-10-16,"PO BOX 1436","MT VERNON","WA","98273"
"00943","LIBERTY BELL HIGH SCHOOL","A","OKANOGAN","SPECIAL DISTRICT",0,0,3,3,1980-01-01,"18 TWIN LAKES RD","WINTHROP","WA","98862"
"00944","HIDDEN HEIGHTS","A","KITSAP","ASSOCIATION",36,14,14,16,2007-01-08,"PO BOX 123","PORT ORCHARD","WA","98366"
"00946","COLUMBIA RIVERFRONT RV PARK","A","COWLITZ","PRIVATE",0,0,76,76,1991-09-20,"1881 DIKE ROAD","WOODLAND","WA","98674"
"00950","MORNING MEADOWS","A","CLARK","SPECIAL DISTRICT",75,25,25,27,1991-11-05,"PO BOX 8900","VANCOUVER","WA","98668"
"00952","AVALON LINKS GOLF CLUB","A","SKAGIT","INVESTOR",0,0,2,2,1991-10-14,"19345 KELLEHER RD","BURLINGTON","WA","98233"
"00953","NISQUALLY HIGHLANDS 364","A","THURSTON","SPECIAL DISTRICT",162,55,55,57,1991-11-05,"921 LAKERIDGE WAY SW SUITE 301","OLYMPIA","WA","98502"
"00954","EVERGREEN APARTMENTS","A","LEWIS","PRIVATE",54,15,15,0,1991-11-05,"PO BOX 780","NAPAVINE","WA","98565"
"00971","BATTLE CREEK GOLF COURSE","A","SNOHOMISH","INVESTOR",0,0,2,4,1991-10-29,"6006 MERIDIAN AVE N","MARYSVILLE","WA","98271"
"00982","UTSALADY HEIGHTS OWNERS ASSN","A","ISLAND","ASSOCIATION",240,99,99,105,1991-12-02,"PO BOX 1631","STANWOOD","WA","98292"
"00988","ALDER STREET WATER SYSTEM","A","ISLAND","ASSOCIATION",16,23,23,0,1970-01-01,"PO BOX 2243","OAK HARBOR","WA","98277"
"01000","CITIZENS WATER ASSOCIATION","A","PIERCE","PRIVATE",60,24,25,34,1970-01-01,"219 LITTLE ST SW","TUMWATER","WA","98512"
"01001","BLUE SKY RV PARK","A","KING","PRIVATE",3,3,65,52,1980-01-01,"9002 302ND AVE SE","ISSAQUAH","WA","98027"
"01003","SKAMOKAWA VISTA PARK","A","WAHKIAKUM","SPECIAL DISTRICT",0,0,29,45,1980-04-01,"PO BOX 220","SKAMOKAWA","WA","98647"
"01023","WINDDRIFT WELL","A","KITSAP","INVESTOR",56,21,21,24,1991-12-09,"PO BOX 336","GIG HARBOR","WA","98335"
"01031","RAVENS REACH","A","KITSAP","ASSOCIATION",42,16,16,16,1991-11-14,"PO BOX 336","GIG HARBOR","WA","98335"
"01050","ALDERBROOK WATER CO","A","MASON","SPECIAL DISTRICT",898,359,379,0,1970-01-01,"21971 N HWY. 101","SHELTON","WA","98584"
"01073","BEVIN LAKE REST AREA","A","LEWIS","STATE",0,0,1,1,1996-06-21,"1411 RUSH RD","CHEHALIS","WA","98532"
"01086","CHRISTIAN WORSHIP CENTER","A","KITSAP","PRIVATE",2,1,3,3,1992-01-06,"14132 NW HOLLY RD","SEABECK","WA","98380"
"01088","GHC OCEAN CITY","A","GRAYS HARBOR","COUNTY",103,70,75,161,2005-04-21,"PO BOX 280","PACIFIC BEACH","WA","98571"
"01096","ROSE VALLEY FRIENDS CHURCH","A","COWLITZ","PRIVATE",0,0,1,0,1992-01-06,"11310 LEWIS RIVER ROAD","ARIEL","WA","98603"
"01109","ARCO AM/PM (FAC 5840)","A","WHATCOM","INVESTOR",0,0,1,1,1991-08-16,"11232 120TH AVE NE SUITE 202","KIRKLAND","WA","98033"
"01125","THREE PONDS MOBILE PARK & APTS.","A","PIERCE","INVESTOR",113,37,37,37,1970-01-01,"28641 SE 225TH ST","MAPLE VALLEY","WA","98038"
"01143","COULEE CITY RV PARK","A","GRANT","INVESTOR",7,22,37,0,1991-05-14,"PO BOX 656","COULEE CITY","WA","99115"
"01150","ALDERCREST WATER USERS","A","SNOHOMISH","ASSOCIATION",48,21,21,0,1970-01-01,"1919 PINE AVE","SNOHOMISH","WA","98290"
"01200","ALDERGROVE WATER ASSOCIATION","A","WHATCOM","ASSOCIATION",120,60,60,120,1970-01-01,"3009 ALDERGROVE RD","FERNDALE","WA","98248"
"01205","BURNT RIDGE MX PARK","A","LEWIS","PRIVATE",0,0,1,0,1996-06-21,"1058 BURNT RIDGE RD","ONALASKA","WA","98570"
"01213","RHODODENDRON PLACE","A","MASON","INVESTOR",29,18,22,28,1992-02-21,"PO BOX 676","EAST OLYMPIA","WA","98540"
"01220","SNOW CREEK","A","JEFFERSON","SPECIAL DISTRICT",40,40,41,77,1992-02-25,"PO BOX 929","PORT HADLOCK","WA","98339"
"01222","AUST 210","A","LEWIS","SPECIAL DISTRICT",35,17,17,20,1992-01-02,"921 LAKERIDGE WAY SW SUITE 301","OLYMPIA","WA","98502"
"01250","VALLEY WATER SYSTEM","A","PIERCE","SPECIAL DISTRICT",1738,695,754,0,1970-01-01,"14515 PIONEER WAY E","PUYALLUP","WA","98372"
"01252","SOUTHWORTH ELEMENTARY","A","THURSTON","SPECIAL DISTRICT",0,1,2,2,1980-04-01,"219 LITTLE ST SW","TUMWATER","WA","98512"
"01265","ALDERWOOD EAST","A","CLALLAM","ASSOCIATION",38,15,15,19,1978-07-01,"PO BOX 92","SEQUIM","WA","98382"
"01266","SUNNYBANK WATER SYSTEM","A","CHELAN","ASSOCIATION",89,37,37,58,1980-02-01,"604 BRIARWWOD DR","EAST WENATCHEE","WA","98802"
"01267","STEWARTS MEATS","A","THURSTON","PRIVATE",5,1,2,2,1980-05-01,"17821 SR 507 SE","YELM","WA","98597"
"01270","ALDERWOOD ESTATES","A","PIERCE","SPECIAL DISTRICT",635,254,254,264,1970-01-01,"14515 PIONEER WAY E","PUYALLUP","WA","98372"
"01281","LENORA WATER AND SEWER DISTRICT","A","PEND OREILLE","SPECIAL DISTRICT",16,11,246,34,1992-03-20,"PO BOX 297","USK","WA","99180"
"01300","ALDERWOOD WATER DISTRICT","A","SNOHOMISH","SPECIAL DISTRICT",171500,65498,66912,0,1970-01-01,"3626 156TH ST SW","LYNNWOOD","WA","98087"
"01306","NORTHWEST NATURAL","A","THURSTON","PRIVATE",0,0,2,2,1992-02-17,"3403 STEAMBOAT ISLAND ROAD NW","OLYMPIA","WA","98502"
"01319","164TH ST ARTESIAN WELL","A","SNOHOMISH","SPECIAL DISTRICT",0,0,1,1,1992-03-30,"3626 156TH ST SW","LYNNWOOD","WA","98087"
"01338","ALECK BAY PARK WATER SYSTEM","A","SAN JUAN","ASSOCIATION",36,51,51,65,1970-01-01,"PO BOX 683","LOPEZ ISLAND","WA","98261"
"01339","TALL CHIEF RESORT","A","KING","PRIVATE",1,1,184,0,1980-01-01,"29290 SE 8TH ST","FALL CITY","WA","98024"
"01343","ALEXANDER S COUNTRY INN","A","PIERCE","INVESTOR",0,1,13,13,1970-01-01,"4354 N LEXINGTON","TACOMA","WA","98407"
"01345","ST BEDES EPISCOPAL CHURCH","A","KITSAP","PRIVATE",0,0,1,1,1980-07-01,"PO BOX 123","PORT ORCHARD","WA","98366"
"01357","MOUNT BAKER SKI AREA - WHITE SALMON","A","WHATCOM","INVESTOR",0,0,2,1,1992-04-15,"1420 IOWA ST","BELLINGHAM","WA","98229"
"01371","SAGE HILLS ESTATES 1","A","GRANT","ASSOCIATION",38,19,19,20,1992-05-05,"16728 HANDICAP LANE","WARDEN","WA","98857"
"01379","TOWNSHIP PLACE","A","THURSTON","ASSOCIATION",56,18,18,18,1980-08-01,"1162 NW STATE AVE","CHEHALIS","WA","98532"
"01383","CHUCKANUT TRAILS WATER SYSTEM","A","WHATCOM","PRIVATE",72,56,56,86,1992-04-29,"PO BOX 4358","BELLINGHAM","WA","98227"
"01392","VILLA GROVE","A","THURSTON","INVESTOR",8,2,3,4,1980-07-01,"9200 LITTLE ROCK RD SW","OLYMPIA","WA","98512"
"01400","SKAGIT CO PUD - ALGER","A","SKAGIT","SPECIAL DISTRICT",210,110,122,219,1970-01-01,"PO BOX 1436","MT VERNON","WA","98273"
"01428","NEWAUKUM HILL WATER ASSN","A","LEWIS","ASSOCIATION",475,190,192,263,1980-06-01,"PO BOX 1464","CHEHALIS","WA","98532"
"01429","CAMANO HILLS WATER COMPANY INC","A","ISLAND","INVESTOR",135,114,133,364,1992-03-15,"PO BOX 2703","STANWOOD","WA","98292"
"01450","ALGONA WATER DEPT","A","KING","CITY/TOWN",3000,1096,1139,0,1970-01-01,"402 WARDE ST","ALGONA","WA","98001"
"01461","CAROUSEL DAY CARE","A","KITSAP","PRIVATE",5,2,3,4,1992-05-21,"PO BOX 123","PORT ORCHARD","WA","98366"
"01463","ASPINWALL ESTATES","A","THURSTON","INVESTOR",93,35,35,58,1992-05-26,"6800 MERIDIAN RD SE","OLYMPIA","WA","98513"
"01468","MOUNT BAKER SCHOOL DISTRICT-DEMING","A","WHATCOM","PRIVATE",0,0,1,1,1992-01-16,"14263 CALHOUN RD","MOUNT VERNON","WA","98273"
"01469","CAPE ST MARY ASSOCIATION WATER","A","SAN JUAN","ASSOCIATION",17,18,23,40,1992-05-11,"PO BOX 683","LOPEZ ISLAND","WA","98261"
"01471","DEER HARBOR INN","A","SAN JUAN","PRIVATE",4,1,13,0,1992-06-12,"PO BOX 142","DEER HARBOR","WA","98243"
"01483","GREEN BLUFF WATER ASSN","A","SPOKANE","ASSOCIATION",215,86,86,115,1992-06-11,"PO BOX 1295","MEAD","WA","99021"
"01484","PETERSON FARMS","A","COWLITZ","PRIVATE",16,8,14,14,1992-07-01,"2526 DIKE RD","WOODLAND","WA","98674"
"01487","PASCO GOLFLAND INC","A","FRANKLIN","PRIVATE",3,1,2,0,1992-06-17,"235 HARRISON","KENNEWICK","WA","99336"
"01500","PEACH BEACH RV PARK","A","KLICKITAT","PRIVATE",0,0,69,0,1992-06-23,"171 MARYHILL HWY","GOLDENDALE","WA","98620"
"01517","COWLITZ VALLEY WILDLIFE LEAGUE","A","COWLITZ","PRIVATE",2,1,46,0,1992-06-17,"300 LAKEVIEW DR.","SILVER LAKE","WA","98645"
"01567","VIEW RANCH ESTATES WATER ASSN","A","LEWIS","ASSOCIATION",141,48,48,59,1980-04-01,"207 WHITNEY BLVD.","CHEHALIS","WA","98532"
"01573","SNUG HARBOR RESORT WATER SYSTEM","A","SAN JUAN","PRIVATE",0,0,19,20,1992-07-22,"723 HANNA PARK","EDMONDS","WA","98020"
"01576","HOMESTEAD MOBILE HOME PARK","A","OKANOGAN","PRIVATE",150,45,45,52,1992-07-14,"4 NORWAY PINES DR","TONASKET","WA","98855"
"01581","ELWHA PLACE HOMEOWNERS ASSN","A","CLALLAM","ASSOCIATION",53,26,26,40,1980-08-01,"556 HUNT RD","PORT ANGELES","WA","98363"
"01591","HUNT III COMMUNITY","A","KITSAP","INVESTOR",28,12,12,16,1992-07-22,"PO BOX 20098","SEATTLE","WA","98102"
"01608","ALLAN BROS WAREHOUSE","A","YAKIMA","PRIVATE",0,0,3,5,1979-01-01,"31 ALLAN ROAD","NACHES","WA","98937"
"01639","QUINCY VALLEY ADULT PARK","A","GRANT","PRIVATE",16,63,63,99,1992-08-14,"17693 RD 5 NW, #46","QUINCY","WA","98848"
"01666","SMUGGLERS  COVE WATER SYSTEM","A","SAN JUAN","PRIVATE",35,30,30,44,1992-10-06,"PO BOX 1783","FRIDAY HARBOR","WA","98250"
"01668","WESTERN STAVIS WATER SYS II & III","A","KITSAP","SPECIAL DISTRICT",60,24,24,29,1992-09-04,"PO BOX 1989","POULSBO","WA","98370"
"01690","LOPEZ FARM AND COTTAGES WS","A","SAN JUAN","PRIVATE",3,2,21,0,1995-10-06,"PO BOX 610","LOPEZ","WA","98261"
"01695","ALLYN SHOPPING CENTER","A","MASON","INVESTOR",70,28,38,109,1970-01-01,"PO BOX 336","GIG HARBOR","WA","98335"
"01698","NORTH FORTY PROPERTY OWNERS ASSN","A","SAN JUAN","PRIVATE",25,19,19,24,1980-07-01,"PO BOX 2960","FRIDAY HARBOR","WA","98250"
"01700","ALMIRA WATER SYSTEM","A","LINCOLN","CITY/TOWN",302,120,143,267,1970-01-01,"PO BOX 215","ALMIRA","WA","99103"
"01712","FOREST GLEN ESTATES","A","PIERCE","PRIVATE",50,20,21,21,1992-08-24,"921 LAKERIDGE WAY SW SUITE 301","OLYMPIA","WA","98502"
"01726","BLUEWOOD SKI AREA","A","COLUMBIA","PRIVATE",0,1,2,0,1980-02-01,"PO BOX 167","DAYTON","WA","99328"
"01736","FERN BLUFF ESTATES","A","SNOHOMISH","PRIVATE",25,12,12,15,1980-03-01,"PO BOX 255","MONROE","WA","98272"
"01739","DEKKER WATER SYSTEM","A","YAKIMA","PRIVATE",0,1,2,2,1992-10-02,"PO BOX 340","HARRAH","WA","98933"
"01792","BOOKWALTER WINERY","A","BENTON","PRIVATE",0,0,1,1,1992-10-23,"894 TULIP LANE","RICHLAND","WA","99302"
"01808","LITTLE MISSION CREEK","A","MASON","ASSOCIATION",47,20,20,20,1992-10-25,"371 E LEFFLER LOOP RD","GRAPEVIEW","WA","98546"
"01815","ALPENHORN CAFE","A","CHELAN","PRIVATE",0,1,2,0,2012-01-30,"7750 S LAKESHORE RD #2","CHELAN","WA","98816"
"01822","ALPINE ACRES COMMUNITY ASSOCIATION","A","CHELAN","ASSOCIATION",46,26,71,83,1970-01-01,"21000 MORGAN ST","LEAVENWORTH","WA","98826"
"01824","STONEWATER RANCH","A","CHELAN","PRIVATE",21,4,36,36,1979-01-01,"19537 CHIWAWA LOOP RD","LEAVENWORTH","WA","98826"
"01826","ALPINE HILLS","A","THURSTON","INVESTOR",360,136,136,146,1970-01-01,"6800 MERIDIAN RD SE","OLYMPIA","WA","98513"
"01828","ALPINE VILLAGE PROPERTY OWNERS","A","PIERCE","ASSOCIATION",29,45,65,85,1970-01-01,"PO BOX 123","PORT ORCHARD","WA","98366"
"01830","ALPINE MOBILE MANOR","A","KING","PRIVATE",60,43,43,43,1970-01-01,"19531 36TH AVE NE","LAKE FOREST PARK","WA","98155"
"01832","HARBOR CREST","A","KITSAP","SPECIAL DISTRICT",53,21,21,23,1980-07-01,"PO BOX 1989","POULSBO","WA","98370"
"01840","ALPINEWOOD","A","KITSAP","INVESTOR",260,98,98,99,1970-01-01,"PO BOX 336","GIG HARBOR","WA","98335"
"01842","PROSPECT WATER ASSN INC","A","KLICKITAT","ASSOCIATION",92,39,39,39,1980-08-01,"308 HAYDEN LANE","GOLDENDALE","WA","98620"
"01848","ALS GROCERY","A","KITSAP","PRIVATE",5,1,2,0,2012-08-21,"13965 CRESCENT VALLEY RD. SE.","OLALLA","WA","98359"
"01852","DEER MEADOWS WATER COMPANY INC","A","LINCOLN","INVESTOR",48,350,350,450,1992-11-13,"42180 OSPREY LANE N","DAVENPORT","WA","99122"
