PWSID	SystemName	Group	County	OwnerTypeDesc	ResPop	ResConn	TotalConn	ApprovSvcs	EffectiveDate	PWSAddress1	PWSCity	WSState	WSZipCode
00055	"DAMRILL, LOYD"	B	CLARK	Private	5	2	2	0	11/08/1990	18700 N E  CEDAR CREEK RD	AMBOY	WA	98601
00056	"WEBBER, R.E."	B	CLARK	Private	5	2	2	0	11/08/1990	2402 NE 232ND AVE	CAMAS	WA	98607
00062	VIEW ACRES SATELLITE	B	CLARK	Special District	13	5	5	0	11/08/1990	PO BOX 8900	VANCOUVER	WA	98668
00064	MINICK WELL	B	BENTON	Investor	0	1	2	1	06/25/1996	55002 N GAP RD	PROSSER	WA	99350
00065	YELM STORAGEER SYSTEM	B	THURSTON	Private	10	4	4	0	11/08/1990	32519 MOUNTAIN HWY	EATONVILLE	WA	98328
00067	ISABELLA LOOP COMM	B	MASON	Private	10	1	4	0	11/08/1990	W 391 ISABELLA LP	SHELTON	WA	98584
00068	AMERICUS	B	CLALLAM	Association	12	4	4	4	11/08/1990	161 SANFORD LN	SEQUIM	WA	98382
00069	MT OLYMPUS COMMUNITY	B	MASON	Association	0	3	3	10	11/08/1990	1084 DANIELS DRIVE	FIRCREST	WA	98466
00071	SUHADOLNIK WATER SYSTEM	B	BENTON	Private	5	2	2	2	03/14/1990	2017 BENSON AVE	PROSSER	WA	99350
00072	SHELTON WATER SYSTEM	B	FRANKLIN	Private	5	2	2	2	10/09/1990	871 FIR ROAD	ELTOPIA	WA	99330
00073	SEVEN ARROW RANCH WATER SYSTEM	B	FRANKLIN	Private	5	2	2	2	10/26/1990	501 DAYTON RD	PASCO	WA	99301
00074	STORM S WELL WATER SYSTEM	B	SPOKANE	Private	4	2	2	0	10/01/1990	26018 E PAINTER RD	LATAH	WA	99033
00077	PARK WATER SYSTEM	B	BENTON	Private	10	4	4	4	07/19/1990	804 W OIE HWY	BENTON CITY	WA	99320
00078	TAYLOR WATER SYSTEM	B	YAKIMA	Private	23	9	9	0	09/04/1990	131 TAYLOR RD	SELAH	WA	98942
00079	SPOKANE RIFLE CLUB NORTH	B	SPOKANE	Private	0	0	1	2	01/18/1990	PO BOX 18887	SPOKANE	WA	99228
00080	SPOKANE RIFLE CLUB SOUTH	B	SPOKANE	Private	0	0	2	2	01/18/1990	PO BOX 18887	SPOKANE	WA	99228
00081	DARNALL WATER SYSTEM	B	YAKIMA	Private	5	2	2	2	09/09/1990	360 HANCOCK RD	COWICHE	WA	98923
00082	BAKER/KRIETZMAN WELL	B	SPOKANE	Private	5	2	2	4	10/14/1990	41130 N WHITE TAIL LANE	ELK	WA	99009
00083	AGRI NORTHWEST GRAIN ELEVATOR	B	BENTON	Private	2	1	3	3	11/09/1990	"7404 W HOOD PLACE, SUITE B"	KENNEWICK	WA	99336
00084	CHEWACK NORTH WATER SYSTEM	B	OKANOGAN	Private	5	2	2	2	07/16/1990	184 W N CAMANO DR	CAMANO ISLAND	WA	98292
00085	BROWN S FARM WATER SYSTEM	B	OKANOGAN	Private	3	1	1	2	08/06/1990	887 WOLF CREEK RD	WINTHROP	WA	98862
00086	MEWBOURN/TUPPER WATER SYSTEM	B	SPOKANE	Private	5	2	2	2	11/09/1990	1120 S FAIRCHILD	MEDICAL LAKE	WA	99022
00088	KUBAS WATER SYSTEM	B	SPOKANE	Private	8	4	4	4	05/15/1990	5004 E FREDERICK	SPOKANE	WA	99217
00090	ESENSEE WATER SYSTEM	B	PEND OREILLE	Private	2	2	2	2	09/05/1990	PO BOX 124	METALINE FALLS	WA	99153
00091	VAN BATAVIA FARM WATER SYSTEM	B	FRANKLIN	Private	5	2	2	0	10/03/1990	3550 DOGWOOD RD	PASCO	WA	99301
00092	CHEATORS WELL WATER SYSTEM	B	BENTON	Private	6	3	5	0	09/11/1990	183114 E GAME FARM RD	KENNEWICK	WA	99337
00093	ELSNER COMMUNITY WATER SYSTEM	B	YAKIMA	Private	11	3	3	3	07/16/1990	1031 N GALLOWAY RD	YAKIMA	WA	98908
00094	CROSBY RANCH WATER SYSTEM	B	BENTON	Private	5	2	2	2	07/02/1990	PO BOX 468	PROSSER	WA	99350
00095	PENNY CREEK KENNEL WATER SYSTEM	B	BENTON	Investor	5	2	2	2	08/03/1990	PO BOX 1020	BENTON	WA	99320
00096	BROOKS SLOUGH WATER ASSN	B	WAHKIAKUM	Private	10	4	6	0	11/08/1990	PO BOX 97	SKAMOKAWA	WA	98647
00097	"NIEDERT, RON"	B	CLARK	Private	5	2	2	0	11/08/1990	4601 E 18TH ST #86	VANCOUVER	WA	98661
00098	3 CREEK ACRES	B	CLARK	Private	10	4	4	0	11/08/1990	27917 NE 3 CREEKS RD.	YACOLT	WA	98675
00099	MERLYNS MEADOWS	B	CLARK	Private	12	3	3	0	11/08/1990	19215 NE  82 AVE	BATTLE GROUND	WA	98604
00102	LONE PINE WATER	B	PIERCE	Investor	10	4	4	4	10/01/1978	6803 MATHIAS RD E	GRAHAM	WA	98338
00103	BABY ISLAND - SARATOGA WATER SYSTEM	B	ISLAND	Association	0	0	1	1	11/14/1990	PO BOX 13	LANGLEY	WA	98260
00104	HARRISON WATER SYSTEM	B	PIERCE	Private	5	2	2	0	10/26/1990	7302 - 160TH ST  E	PUYALLUP	WA	98373
00105	VENICE	B	KITSAP	Private	18	6	6	6	11/15/1990	11837 VENICE LOOP NE	BAINBRIDGE ISLAND	WA	98110
00106	J & J WELL WATER SYSTEM	B	SPOKANE	Private	5	2	2	2	10/10/1990	24212 S  D  ST	CHENEY	WA	99004
00107	G & R MAYO WATER SYSTEM	B	BENTON	Private	5	2	2	2	09/27/1990	RT 2 BOX 2552-A	KENNEWICK	WA	99337
00108	DONOVAN WATER SYSTEM	B	BENTON	Private	5	2	2	2	09/24/1990	RT 3 BOX 3856	PROSSER	WA	99350
00109	WILSON S WELL	B	YAKIMA	Private	5	2	2	0	08/17/1990	PO BOX 67	SELAH	WA	98942
00110	HUGHES LUMBER COMPANY	B	BENTON	Private	0	0	1	1	10/16/1990	5215 W CLEARWATER STE 107-B31	KENNEWICK	WA	99336
00115	MCNARY NATIONAL WILDLIFE REFUGE	B	WALLA WALLA	Federal	2	1	5	0	05/01/1980	72650 RIVER VIEW LN	IRRIGON	WA	97844
00116	STANG S WATER SYSTEM	B	SNOHOMISH	Private	14	4	4	0	11/21/1990	32503 80TH DR NW	STANWOOD	WA	98292
00117	BURN HILL WATER SYSTEM	B	SNOHOMISH	Private	11	5	5	0	11/21/1990	9804 169TH DR NE	GRANITE FALLS	WA	98252
00120	HM #2	B	PIERCE	Private	10	4	4	0	11/01/1990	PO BOX 331	SOUTH PRAIRIE	WA	98385
00121	HAYES WATER SYSTEM	B	PIERCE	Private	6	2	2	0	11/21/1990	8105 52ND ST E	FIFE	WA	98424
00122	DODGE-STURGEON WATER SYSTEM	B	PIERCE	Private	4	2	2	2	11/06/1990	812 N HERRON RD KPN	LAKEBAY	WA	98349
00123	BLAZEKOVICH WATER SYSTEM	B	PIERCE	Private	5	2	2	0	11/21/1990	PO BOX 811	ORTING	WA	98360
00124	ROGERS WATER SYSTEM	B	STEVENS	Private	1	1	3	3	06/25/1996	6460 STONELODGE RD	NINE MILE FALLS	WA	99026
00126	EL RIO DEL DIAS	B	THURSTON	Private	5	2	2	0	11/29/1990	9820 SE RICH ROAD	OLYMPIA	WA	98501
00127	COUNTRY MEADOWS	B	THURSTON	Investor	24	8	8	8	11/29/1990	3417 KEGLEY MEADOWS CT NE	OLYMPIA	WA	98506
00128	ALVIS	B	THURSTON	Investor	8	3	3	0	07/01/1979	15847 BALD HILL RD SE	YELM	WA	98597
00129	JESSLYN LANE B AND B	B	CLALLAM	Private	4	2	4	0	11/29/1990	52 JESSLYN LN	SEQUIM	WA	98382
00130	LOTUS	B	CLALLAM	Investor	15	5	5	0	11/29/1990	190 LOTUS LN	SEQUIM	WA	98382
00132	SWW	B	KITSAP	Private	5	2	2	0	11/29/1990	10732 BETHEL BURLEY ROAD S E	PORT ORCHARD	WA	98366
00135	HANCOCK PUBLIC SUPPLY	B	PIERCE	Association	10	4	4	0	09/01/1987	12320 276TH AVE E	BUCKLEY	WA	98321
00138	DYKEMAN WATER SYSTEM	B	BENTON	Private	5	2	2	2	10/31/1990	RT 3 BOX 8510 KENNEDY RD	RICHLAND	WA	99352
00139	TRI-CITY FABRICATING	B	BENTON	Private	0	0	1	1	10/31/1990	202132 E 25TH AVE	KENNEWICK	WA	99336
00140	VESTAD WATER SYSTEM	B	YAKIMA	Private	5	1	1	0	06/05/1990	9407 RIDGEWAY RD	YAKIMA	WA	98903
00142	H-T-G WATER SYSTEM	B	ADAMS	Private	9	3	3	3	10/01/1990	2229 W BENCH	OTHELLO	WA	99344
00143	BRIGGS BOYS	B	KING	Private	5	2	2	0	09/15/1990	30406 S E  ISSAQUAH FALL CITY	FALL CITY	WA	98024
00144	NINJA	B	KING	Private	5	2	2	0	09/01/1990	20651 236TH AVE  S E	MAPLE VALLEY	WA	98038
00145	RODSIDE WATER SYSTEM	B	PIERCE	Private	5	2	2	0	11/21/1990	140 PT FOSDICK DR NW	GIG HARBOR	WA	98335
00146	GREISING	B	KING	Private	5	2	2	0	11/21/1990	24424 249TH AVE S E	MAPLE VALLEY	WA	98038
00147	HARRIS/HARTUNG	B	KING	Private	8	3	3	0	11/20/1990	26226 SE 200TH STREET	MAPLE VALLEY	WA	98038
00148	PLAGENS	B	KING	Private	5	2	2	0	11/20/1990	1872 LA FROMBOISE ST	ENUMCLAW	WA	98022
00149	G.T.E.-REDMOND	B	KING	Private	0	0	1	0	12/05/1990	20929 N E  REDMOND FALL CITY RD	REDMOND	WA	98053
00150	ACALADI WATER ASSN	B	ISLAND	Association	17	11	11	0	01/01/1970	PO BOX 1266	CAMANO ISLAND	WA	98282
00152	CARTER	B	KITSAP	Investor	5	2	2	0	03/01/1980	29439 BEACH DRIVE NE	POULSBO	WA	98370
00155	"REZNICK, G."	B	KING	Private	5	2	2	0	07/05/1977	28440 N E  TOLT HILL ROAD	CARNATION	WA	98014
00156	PALOUSE PRODUCERS SUBDIVISION	B	WHITMAN	Investor	0	0	2	2	07/25/1990	PO BOX 896	PULLMAN	WA	99163-0896
00157	FAIRWAY ACRES 3RD ADDITION	B	OKANOGAN	Private	23	9	9	0	05/08/1990	P O BOX 1068	OKANOGAN	WA	98840
00158	TIMBERLINE MEADOWS PD #92	B	OKANOGAN	Association	4	2	10	17	08/01/1990	45 TIMBERLINE LN	WINTHROP	WA	98862
00159	TIMBERLINE MEADOWS PD#2	B	OKANOGAN	Private	1	1	1	7	08/01/1990	PO BOX 14	WINTHROP	WA	98862
00161	SEAWIND RANCH	B	OKANOGAN	Private	0	1	13	13	10/01/1990	PO BOX 17389	SEATTLE	WA	98127
00162	STILLWATER RANCH PD	B	OKANOGAN	Private	0	0	1	1	11/27/1990	820 NE 45TH  2	SEATTLE	WA	98105
00163	RIVERFRONT PARTNERS PUD	B	OKANOGAN	Private	5	2	2	6	11/27/1990	69 LOST RIVER RD	MAZAMA	WA	98833
00164	"JONES, BOSCOW & LITTLE WATER SYSTEM"	B	CHELAN	Private	8	3	3	3	12/14/1990	12576 SHORE STREET	LEAVENWORTH	WA	98826
00165	LARSON WATER SYSTEM	B	CHELAN	Private	4	2	2	0	08/01/1990	110 BIRCH STREET	CASHMERE	WA	98815
00167	DAISY HILL WATER SYSTEM	B	DOUGLAS	Private	24	11	11	11	07/10/1990	18 DAISY HILL RD	EAST WENATCHEE	WA	98802
00168	PATTERSON WATER SYSTEM	B	OKANOGAN	Private	5	3	3	3	11/20/1990	1245 NE 96TH ST	SEATTLE	WA	98115
00169	WINDHAVEN WATER SYSTEM #1	B	OKANOGAN	Private	0	0	2	2	08/20/1990	PO BOX 1608	OKANOGAN	WA	98840
00172	"WIKES, GLENN"	B	CLARK	Private	5	2	2	0	12/17/1990	31421 N W  44TH AVE	RIDGEFIELD	WA	98642
00174	JUHALA	B	CLARK	Private	9	3	3	0	12/17/1990	28515 NE 74TH CT	BATTLE GROUND	WA	98604
00178	"ENERGY, DEPT OF/251"	B	BENTON	Federal	0	0	1	0	03/30/2011	PO BOX 650  MSIN:S0-20	RICHLAND	WA	99352
00179	WHITNEY DUPLEXES	B	LEWIS	Private	15	6	6	0	05/01/1980	107 SOUTH TOWER	CENTRALIA	WA	98531
00180	"ENERGY, DEPT OF/609 FIRE STATION"	B	BENTON	Federal	0	0	1	0	12/18/1990	PO BOX 650  MSIN:S0-20	RICHLAND	WA	99352
00183	"ENERGY, DEPT OF/TRAINING ACADEMY"	B	BENTON	Federal	0	0	4	0	12/18/1990	PO BOX 550	RICHLAND	WA	99352
00184	"ENERGY, DEPT OF/YAKIMA BARRICADE"	B	BENTON	Federal	0	0	1	0	02/10/2000	PO BOX 650  MSIN:S0-20	RICHLAND	WA	99352
00186	GORDON WATER SYSTEM	B	BENTON	Private	5	2	2	2	11/13/1990	2413 S WASHINGTON	KENNEWICK	WA	99337
00187	MACS WATER SYSTEM	B	YAKIMA	Private	9	3	3	3	11/13/1990	1310 NACHES-TIETON RD	TIETON	WA	98947
00188	OSSMAN II WATER SYSTEM	B	FRANKLIN	Private	5	2	2	2	10/26/1990	501 DAYTON RD	PASCO	WA	99301
00190	BURKE LEHMAN WATER SYSTEM	B	OKANOGAN	Private	15	6	6	6	12/26/1990	RT 1 BOX 277	WINTHROP	WA	98862
00191	GOAT CREEK NORTH #1 WATER SYSTEM	B	OKANOGAN	Association	1	5	5	11	09/20/1990	1 SPRING CREEK LN	WINTHROP	WA	98862
00194	HATTON	B	CLALLAM	Private	5	2	2	0	12/14/1990	PO BOX 1475	SEQUIM	WA	98382
00195	HARMONY HILL	B	MASON	Private	2	2	7	0	12/25/1990	151 E LEISURE LANE	GRAPEVIEW	WA	98546-9717
00196	PORTER WELL WATER SYSTEM	B	LINCOLN	Private	12	6	12	6	08/31/1990	12604 E APACHE PASS	SPOKANE	WA	99206
00197	HAWN WATER SYSTEM	B	BENTON	Private	5	2	2	2	01/03/1991	53102 M GRIFFIN RD	GRANDVIEW	WA	98930
00198	MCGREGOR OFFICE COMPLEX	B	WHITMAN	Investor	0	0	1	0	01/03/1991	PO BOX 740	COLFAX	WA	99111-0740
00200	"SMITH, KEN AND THERESA"	B	CLARK	Private	17	5	5	0	01/04/1991	11508 NE 202 AVE	BRUSH PRAIRIE	WA	98606
00202	"PIERSON, CHUCK"	B	CLARK	Private	5	2	2	0	01/04/1991	17507 N E  72 AVE	VANCOUVER	WA	98662
00204	"CODY, CLIFTON"	B	CLARK	Private	5	2	2	0	01/04/1991	20615 N E  109TH ST	BRUSH PRAIRIE	WA	98606
00205	OLYMPIA COMPUTING	B	THURSTON	Investor	0	0	1	0	05/01/1980	7249 CAPITOL BLVD S	OLYMPIA	WA	98502
00206	JACOBSON WATER SYSTEM	B	BENTON	Private	5	2	2	2	11/29/1990	5122 WREN CT	WEST RICHLAND	WA	99353
00207	VALLEY PIPE COMPANY	B	BENTON	Private	0	0	1	0	12/10/1990	169801 COUNTRY RD 12	PROSSER	WA	99350
00208	CEDAR BROOK HOMEOWNERS 1	B	MASON	Private	20	7	7	9	01/07/1991	PO BOX 894	BELFAIR	WA	98528
00209	POTTER WATER TOO	B	KITSAP	Private	5	2	2	0	01/09/1991	12355 CLEAR CREEK ROAD	SILVERDALE	WA	98383
00210	TAPWATER	B	CLALLAM	Private	5	2	2	0	12/26/1990	P O  BOX 1738	SEQUIM	WA	98382
00211	DESCHUTES GLEN - 215	B	THURSTON	Special District	20	9	9	9	01/08/1991	921 LAKERIDGE WAY SW SUITE 301	OLYMPIA	WA	98502
00212	CLEARWATER-BAKER #3	B	PIERCE	Private	23	9	9	0	06/01/1990	PO BOX 123	PORT ORCHARD	WA	98366
00214	PRATT #2 WATER SYSTEM	B	PIERCE	Private	5	2	2	0	12/14/1990	PO BOX 544	GRAHAM	WA	98338
00215	KINDRED WATER SYSTEM	B	PIERCE	Private	10	2	2	0	12/14/1990	2917 86TH AVE CT	GIG HARBOR	WA	98335
00217	WAHLS WATER WORKS	B	PIERCE	Private	24	8	8	9	12/14/1990	PO BOX 8052	BONNEY LAKE	WA	98391
00219	NIELSON COMMUNITY WATER SYSTEM	B	KING	Private	5	2	2	0	01/04/1991	33014 N E  138TH ST	DUVALL	WA	98019
00220	ACHESON D SUPPLY	B	KING	Investor	5	2	2	0	01/01/1970	23261 112TH S E	KENT	WA	98031
00221	SHINN & SON INC	B	YAKIMA	Investor	20	5	9	9	12/01/1978	790 HOP RD	TOPPENISH	WA	98948
00222	BOUMA SHORT PLAT	B	WHATCOM	Private	11	3	3	0	06/01/1980	5373 GUIDE MERIDIAN BLDG  D	BELLINGHAM	WA	98226
00226	BERG-CARRIE	B	SKAMANIA	Private	5	2	2	0	01/15/1991	11181 N E  WEIDLER  220	PORTLAND	OR	97220
00227	SETTLER	B	SKAMANIA	Private	5	2	2	0	01/15/1991	RT  1 BOX 120C	STEVENSON	WA	98648
00228	JFH	B	THURSTON	Investor	8	3	3	0	06/27/1990	PO BOX 527	YELM	WA	98597
00229	BENSON HILL HOA  #1	B	CLALLAM	Association	9	5	5	9	12/21/1990	PO BOX 401	PORT ANGELES	WA	98361
00230	BERRY WATER SYSTEM #4	B	PIERCE	Private	15	5	5	0	12/31/1990	6009 254TH ST CT E	GRAHAM	WA	98338
00231	"TAYLOR, TAYLOR, VINEY-CASADY"	B	KING	Private	8	3	3	0	01/04/1991	3302 239TH AVE  S E	ISSAQUAH	WA	98027
00232	LOG HOUSE WATER SYSTEM	B	PIERCE	Private	8	1	1	0	12/31/1990	PO BOX 314	GRAHAM	WA	98338
00233	ADLER WATER SYSTEM	B	PIERCE	Private	5	2	2	0	11/19/1990	7008 KAPOWSIN HWY E	GRAHAM	WA	98338
00234	CAULFIELD WATER WORKS	B	COWLITZ	Private	12	4	4	0	12/31/1990	8001 OLD PACIFIC HWY N	CASTLE ROCK	WA	98611
00236	COLFAX MEAT PACKING CO	B	WHITMAN	Investor	0	0	1	0	01/01/1980	RT 1 BOX 46C	COLFAX	WA	99111
00237	DNM	B	KITSAP	Private	12	4	4	0	06/01/1979	15276 CRESCENT VALLEY RD SE	PORT ORCHARD	WA	98366
00241	MUSHROOM LANE WATER	B	KITSAP	Investor	10	4	4	0	05/01/1980	1923 NW MUSHROOM LANE	POULSBO	WA	98370
00242	SEVENTH DAY ADVENTIST	B	JEFFERSON	Private	0	0	1	0	07/23/1990	PO BOX 88	BRINNON	WA	98320
00244	CHRISTENSEN MUCK #2 - 257	B	PIERCE	Special District	23	9	9	9	10/23/1990	921 LAKERIDGE WAY SW SUITE 301	OLYMPIA	WA	98502
00245	CHRISTENSEN-MUCK #3 - 258	B	PIERCE	Special District	23	9	9	9	10/30/1990	921 LAKERIDGE WAY SW SUITE 301	OLYMPIA	WA	98502
00246	BEEBE WELL #1	B	PIERCE	Private	5	2	2	0	10/01/1990	10615 223RD AVE  E	BUCKLEY	WA	98321
00247	SOUTH ANDERSON WATER SUPPLY	B	PIERCE	Private	23	9	9	0	03/01/1982	14814 146TH ST	ANDERSON ISLAND	WA	98303
00248	COURTNEY WATER SYSTEM	B	SNOHOMISH	Private	24	7	7	9	12/31/1990	5724 ROBE MENZEL RD	GRANITE FALLS	WA	98252
00251	COLUMBIA BASIN REBAR	B	WALLA WALLA	County	0	0	2	0	01/01/1980	PO BOX 575	BURBANK	WA	99323
00252	NORVOLD ARDEN ANDERSON WATER SYSTEM	B	KING	Investor	13	5	5	0	04/01/1980	13205 164TH AVE NE	REDMOND	WA	98052
00254	SCHOCK WATER SYSTEM	B	PIERCE	Private	8	3	3	0	12/05/1990	19607 BAY RD  KPS	LONGBRANCH	WA	98351
00255	FLOWERS #2	B	PIERCE	Private	23	8	8	0	01/02/1991	29210 3RD AVE S	ROY	WA	98580
00256	"WESTBROOK, DONALD WATER"	B	PIERCE	Private	5	2	2	0	12/27/1990	10119 74TH AVE NW	GIG HARBOR	WA	98332
00257	MADRONA BEACH WATER SYSTEM	B	PIERCE	Private	10	3	3	4	12/27/1990	PO BOX 570	VAUGHN	WA	98394
00259	ALLISON	B	KING	Private	8	3	3	0	12/14/1990	11428 SE 289TH	KENT	WA	98031
00261	COMMONWEALTH TERRACE WATER	B	YAKIMA	Private	8	5	5	0	12/01/1978	3303 COMMONWEALTH DR	YAKIMA	WA	98901
00262	MAYTOWN TRUCK STOP	B	THURSTON	Private	2	1	8	6	04/01/1980	2820 MAYTOWN RD SW	OLYMPIA	WA	98512
00264	KLIMPS WATER SYSTEM	B	WHATCOM	Private	8	4	4	5	11/26/1990	5946 BARR RD	FERNDALE	WA	98248
00265	GIBSON - KOBE SYSTEM	B	PIERCE	Private	5	2	2	0	06/01/1990	12309 SR 302 KPN	GIG HARBOR	WA	98335
00266	TWIN LAKES 1	B	OKANOGAN	Investor	7	9	9	2	11/20/1990	2932 - B HWY 153	TWISP	WA	98856
00267	WOLLEY WATER SYSTEM	B	OKANOGAN	Private	20	9	9	9	12/10/1990	PO BOX 491	PATEROS	WA	98846
00268	NORCO WATER SYSTEM	B	CHELAN	Private	8	4	4	0	08/10/1990	3311 GRAND AVE	EVERETT	WA	98201
00269	SAUNDERS WATER SYSTEM	B	PIERCE	Private	10	4	4	0	02/14/1990	9313 362ND ST  E	EATONVILLE	WA	98328
00274	CROCKER WATER SUPPLY	B	KITSAP	Association	8	3	3	3	01/01/1980	16828 NOLL RD	POULSBO	WA	98370
00275	ISSAQUAH FAMILY WELL	B	KING	Private	23	9	9	0	01/01/1970	1295 FRONT ST S	ISSAQUAH	WA	98027
00276	DAHKLE WELL	B	YAKIMA	Investor	4	2	2	0	02/01/1979	2118 SHERIDAN PLACE	RICHLAND	WA	99352
00277	FAMILY MEADOWS WATER	B	KITSAP	Private	12	3	3	6	05/01/1980	9491 BUCSIT LN NE	BAINBRIDGE ISLAND	WA	98110
00278	ADAMS CO FIRE DIST #6	B	ADAMS	County	10	5	5	0	01/01/1970	2946 E RALSTON-BENGE RD	BENGE	WA	99105
00280	82 AVE WATER SYSTEM	B	PIERCE	Private	15	4	4	6	04/01/1980	11919 CANYON RD E	PUYALLUP	WA	98373
00283	HOLMGREN WATER SUPPLY	B	LEWIS	Private	12	6	6	0	03/14/1991	3411 HARRISON AVE 2	CENTRALIA	WA	98531
00284	SUNRISE WATER SYSTEM	B	YAKIMA	Private	20	6	6	0	09/27/1990	526 HENNESSEY RD	YAKIMA	WA	98908
00285	BURKHART RANCH PD	B	OKANOGAN	Private	0	0	2	9	12/04/1990	HCR 74 BOX B-6	MAZAMA	WA	98833
00287	METHOW RIVER RANCH	B	OKANOGAN	Investor	2	1	1	9	11/27/1990	18209 SR 20	WINTHROP	WA	98862
00290	WINDHAVEN WATER SYSTEM #2	B	OKANOGAN	Private	0	0	2	2	08/20/1990	PO BOX 1608	OKANOGAN	WA	98840
00291	PEARL PLACE WATER SERVICE	B	CLALLAM	Investor	20	8	8	9	02/07/1991	12 PEARL PL	SEQUIM	WA	98382
00294	RHODODENDRON ACREAGE TRCT	B	KITSAP	Private	24	9	9	0	05/01/1980	3278 SEABECK HWY NW	BREMERTON	WA	98312
00295	CHERRY HILL WATERWORKS	B	KING	Private	8	3	3	0	07/01/1978	22928 178TH S E	KENT	WA	98042
00297	FAR OUT WATER SUPPLY	B	KING	Investor	15	6	6	0	03/01/1980	730 REDMOND FALL CITY RD	REDMOND	WA	98053
00298	ALDER DRAW	B	KITSAP	Investor	14	4	4	4	06/01/1980	4693 SEABECK HIGHWAY N W	BREMERTON	WA	98312
00301	FISHTRAP COMM WATER	B	THURSTON	Private	15	7	7	0	01/01/1980	2700 FISHTRAP RD NE	OLYMPIA	WA	98506
00304	GREEN WELL #1	B	PIERCE	Private	5	2	2	0	01/30/1991	2302 50TH AVE NW	GIG HARBOR	WA	98335
